Date,指数代码 Index Code,IndexName,指数英文名称Index Name(Eng),Code,Name,Name(Eng),Exchange,Exchange(Eng),weight
20220429,000300,沪深300,CSI 300,300014,亿纬锂能,Eve Energy Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.412
20220429,000300,沪深300,CSI 300,300015,爱尔眼科,Aier Eye Hospital Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.536
20220429,000300,沪深300,CSI 300,600150,中国船舶,China CSSC Holdings Limited,上海证券交易所,Shanghai  Exchange,0.155
20220429,000300,沪深300,CSI 300,600161,天坛生物,Beijing Tiantan Biological Products Co Ltd,上海证券交易所,Shanghai  Exchange,0.075
20220429,000300,沪深300,CSI 300,600900,长江电力,China Yangtze Power Co Ltd,上海证券交易所,Shanghai  Exchange,1.427
20220429,000300,沪深300,CSI 300,600332,白云山,GUANGZHOU BAIYUNSHAN PHARMACEUTICAL HOLDINGS COMPANY LIMITED,上海证券交易所,Shanghai  Exchange,0.113
20220429,000300,沪深300,CSI 300,600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,上海证券交易所,Shanghai  Exchange,0.237
20220429,000300,沪深300,CSI 300,600176,中国巨石,"CHINA JUSHI CO., LTD.",上海证券交易所,Shanghai  Exchange,0.209
20220429,000300,沪深300,CSI 300,600848,上海临港,Shanghai Lingang Holdings Corporation Limited,上海证券交易所,Shanghai  Exchange,0.067
20220429,000300,沪深300,CSI 300,600600,青岛啤酒,Tsingtao Brewery Co Ltd,上海证券交易所,Shanghai  Exchange,0.169
20220429,000300,沪深300,CSI 300,600690,海尔智家,"Haier Smart Home Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.542
20220429,000300,沪深300,CSI 300,600028,中国石化,China Petroleum & Chemical Corporation,上海证券交易所,Shanghai  Exchange,0.321
20220429,000300,沪深300,CSI 300,600346,恒力石化,"Hengli Petrochemical Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.244
20220429,000300,沪深300,CSI 300,002120,韵达股份,"YUNDA Holding CO., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.099
20220429,000300,沪深300,CSI 300,601390,中国中铁,China Railway Group Limited,上海证券交易所,Shanghai  Exchange,0.398
20220429,000300,沪深300,CSI 300,601618,中国中冶,Metallurgical Corporation of China Co Ltd,上海证券交易所,Shanghai  Exchange,0.138
20220429,000300,沪深300,CSI 300,600837,海通证券,Haitong Securities Company Limited,上海证券交易所,Shanghai  Exchange,0.483
20220429,000300,沪深300,CSI 300,600132,重庆啤酒,Chongqing Brewery Co Ltd,上海证券交易所,Shanghai  Exchange,0.168
20220429,000300,沪深300,CSI 300,600115,中国东航,"China Eastern Airlines Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.143
20220429,000300,沪深300,CSI 300,600104,上汽集团,SAIC Motor Co Ltd,上海证券交易所,Shanghai  Exchange,0.412
20220429,000300,沪深300,CSI 300,600031,三一重工,Sany Heavy Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.542
20220429,000300,沪深300,CSI 300,600352,浙江龙盛,Zhejiang Longsheng Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.145
20220429,000300,沪深300,CSI 300,000977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.139
20220429,000300,沪深300,CSI 300,002202,金风科技,Xinjiang Goldwind Science & Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.172
20220429,000300,沪深300,CSI 300,300059,东方财富,East Money Information Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.33
20220429,000300,沪深300,CSI 300,601818,光大银行,China Everbright Bank Co Ltd,上海证券交易所,Shanghai  Exchange,0.292
20220429,000300,沪深300,CSI 300,600406,国电南瑞,"NARI Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.49
20220429,000300,沪深300,CSI 300,600760,中航沈飞,AVIC SHENYANG AIRCRAFT COMPANY LIMITED,上海证券交易所,Shanghai  Exchange,0.162
20220429,000300,沪深300,CSI 300,600795,国电电力,GD Power Development Co Ltd,上海证券交易所,Shanghai  Exchange,0.149
20220429,000300,沪深300,CSI 300,600061,国投资本,"SDIC Capital Co., Ltd",上海证券交易所,Shanghai  Exchange,0.091
20220429,000300,沪深300,CSI 300,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.675
20220429,000300,沪深300,CSI 300,600109,国金证券,Sinolink Securities Co. Ltd.,上海证券交易所,Shanghai  Exchange,0.11
20220429,000300,沪深300,CSI 300,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.382
20220429,000300,沪深300,CSI 300,600655,豫园股份,"SHANGHAI YUYUAN TOURIST MART (GROUP) CO., LTD.",上海证券交易所,Shanghai  Exchange,0.077
20220429,000300,沪深300,CSI 300,600809,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,上海证券交易所,Shanghai  Exchange,0.733
20220429,000300,沪深300,CSI 300,600030,中信证券,CITIC Securities Co Ltd,上海证券交易所,Shanghai  Exchange,1.066
20220429,000300,沪深300,CSI 300,600362,江西铜业,Jiangxi Copper Co Ltd,上海证券交易所,Shanghai  Exchange,0.101
20220429,000300,沪深300,CSI 300,600585,海螺水泥,Anhui Conch Cement Co Ltd,上海证券交易所,Shanghai  Exchange,0.53
20220429,000300,沪深300,CSI 300,600036,招商银行,China Merchants Bank Co Ltd,上海证券交易所,Shanghai  Exchange,2.73
20220429,000300,沪深300,CSI 300,000768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,深圳证券交易所,Shenzhen  Exchange,0.166
20220429,000300,沪深300,CSI 300,000776,广发证券,"GF Securities Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.263
20220429,000300,沪深300,CSI 300,600519,贵州茅台,Kweichow Moutai Co Ltd,上海证券交易所,Shanghai  Exchange,6.344
20220429,000300,沪深300,CSI 300,600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,上海证券交易所,Shanghai  Exchange,1.088
20220429,000300,沪深300,CSI 300,600893,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,上海证券交易所,Shanghai  Exchange,0.278
20220429,000300,沪深300,CSI 300,600050,中国联通,China United Network Communications Co Ltd,上海证券交易所,Shanghai  Exchange,0.362
20220429,000300,沪深300,CSI 300,600085,同仁堂,Beijing Tongrentang Co Ltd,上海证券交易所,Shanghai  Exchange,0.139
20220429,000300,沪深300,CSI 300,300142,沃森生物,Walvax Biotechnology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.462
20220429,000300,沪深300,CSI 300,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen  Exchange,0.816
20220429,000300,沪深300,CSI 300,000661,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,深圳证券交易所,Shenzhen  Exchange,0.281
20220429,000300,沪深300,CSI 300,000703,恒逸石化,Hengyi Petrochemical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.093
20220429,000300,沪深300,CSI 300,000708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.101
20220429,000300,沪深300,CSI 300,000858,五 粮 液,Wuliangye Yibin Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.738
20220429,000300,沪深300,CSI 300,002027,分众传媒,"Focus Media Information Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.326
20220429,000300,沪深300,CSI 300,002032,苏泊尔,"Zhejiang Supor Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.049
20220429,000300,沪深300,CSI 300,002024,ST易购,"SUNING.COM CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.066
20220429,000300,沪深300,CSI 300,002050,三花智控,"ZHEJIANG SANHUA INTELLIGENT CONTROLS CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.166
20220429,000300,沪深300,CSI 300,600048,保利发展,"Poly Developments and Holdings Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.719
20220429,000300,沪深300,CSI 300,601398,工商银行,Industrial and Commercial Bank of China Ltd,上海证券交易所,Shanghai  Exchange,0.926
20220429,000300,沪深300,CSI 300,002236,大华股份,Zhejiang Dahua Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.166
20220429,000300,沪深300,CSI 300,601111,中国国航,Air China Ltd,上海证券交易所,Shanghai  Exchange,0.156
20220429,000300,沪深300,CSI 300,002064,华峰化学,"Huafon Chemical Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.064
20220429,000300,沪深300,CSI 300,002271,东方雨虹,Beijing Oriental Yuhong Waterproof Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.443
20220429,000300,沪深300,CSI 300,002475,立讯精密,"Luxshare Precision Industry Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.842
20220429,000300,沪深300,CSI 300,000876,新 希 望,"NEW HOPE LIUHE CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.175
20220429,000300,沪深300,CSI 300,601088,中国神华,China Shenhua Energy Co Ltd,上海证券交易所,Shanghai  Exchange,0.561
20220429,000300,沪深300,CSI 300,601766,中国中车,CRRC Corporation Limited,上海证券交易所,Shanghai  Exchange,0.339
20220429,000300,沪深300,CSI 300,601668,中国建筑,China State Construction Engineering Co Ltd,上海证券交易所,Shanghai  Exchange,0.728
20220429,000300,沪深300,CSI 300,002304,洋河股份,Jiangsu Yanghe Brewery Joint-Stock Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.53
20220429,000300,沪深300,CSI 300,601688,华泰证券,Huatai Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.38
20220429,000300,沪深300,CSI 300,601628,中国人寿,China Life Insurance Company Limited,上海证券交易所,Shanghai  Exchange,0.234
20220429,000300,沪深300,CSI 300,000100,TCL科技,TCL Technology Group Corporation,深圳证券交易所,Shenzhen  Exchange,0.324
20220429,000300,沪深300,CSI 300,600438,通威股份,Tongwei Co Ltd,上海证券交易所,Shanghai  Exchange,0.613
20220429,000300,沪深300,CSI 300,601988,中国银行,Bank of China Ltd,上海证券交易所,Shanghai  Exchange,0.376
20220429,000300,沪深300,CSI 300,601808,中海油服,China Oilfield Services Limited,上海证券交易所,Shanghai  Exchange,0.041
20220429,000300,沪深300,CSI 300,601288,农业银行,Agricultural Bank of China Co Ltd,上海证券交易所,Shanghai  Exchange,0.594
20220429,000300,沪深300,CSI 300,000786,北新建材,Beijing New Building Materials Public Ltd Co,深圳证券交易所,Shenzhen  Exchange,0.163
20220429,000300,沪深300,CSI 300,000783,长江证券,Changjiang Securities Company Limited,深圳证券交易所,Shenzhen  Exchange,0.119
20220429,000300,沪深300,CSI 300,600745,闻泰科技,"Wingtech Technology Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.271
20220429,000300,沪深300,CSI 300,600079,人福医药,"Humanwell Healthcare (Group) Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.085
20220429,000300,沪深300,CSI 300,002008,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.131
20220429,000300,沪深300,CSI 300,002007,华兰生物,Hualan Biological Engineering INC,深圳证券交易所,Shenzhen  Exchange,0.101
20220429,000300,沪深300,CSI 300,002001,新和成,Zhejiang NHU Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.229
20220429,000300,沪深300,CSI 300,002049,紫光国微,"Unigroup Guoxin Microelectronics Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.429
20220429,000300,沪深300,CSI 300,601898,中煤能源,China Coal Energy Co Ltd,上海证券交易所,Shanghai  Exchange,0.095
20220429,000300,沪深300,CSI 300,601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.108
20220429,000300,沪深300,CSI 300,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.505
20220429,000300,沪深300,CSI 300,300122,智飞生物,Chongqing Zhifei Biological Products Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.418
20220429,000300,沪深300,CSI 300,300124,汇川技术,Shenzhen Inovance Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.586
20220429,000300,沪深300,CSI 300,600018,上港集团,Shanghai International Port (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.114
20220429,000300,沪深300,CSI 300,600183,生益科技,"Shengyi Technology Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.106
20220429,000300,沪深300,CSI 300,600763,通策医疗,TOPCHOICE MEDICAL CORPORATION,上海证券交易所,Shanghai  Exchange,0.159
20220429,000300,沪深300,CSI 300,600383,金地集团,Gemdale Corporation,上海证券交易所,Shanghai  Exchange,0.178
20220429,000300,沪深300,CSI 300,600588,用友网络,"Yonyou Network Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.182
20220429,000300,沪深300,CSI 300,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.318
20220429,000300,沪深300,CSI 300,600016,民生银行,China Minsheng Banking Corp Ltd,上海证券交易所,Shanghai  Exchange,0.507
20220429,000300,沪深300,CSI 300,600009,上海机场,Shanghai International Airport Co Ltd,上海证券交易所,Shanghai  Exchange,0.263
20220429,000300,沪深300,CSI 300,600011,华能国际,Huaneng Power International Inc,上海证券交易所,Shanghai  Exchange,0.177
20220429,000300,沪深300,CSI 300,002459,晶澳科技,"JA Solar Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.288
20220429,000300,沪深300,CSI 300,002460,赣锋锂业,Ganfeng Lithium Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.492
20220429,000300,沪深300,CSI 300,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.294
20220429,000300,沪深300,CSI 300,601998,中信银行,China Citic Bank Corporation Limited,上海证券交易所,Shanghai  Exchange,0.085
20220429,000300,沪深300,CSI 300,601600,中国铝业,Aluminum Corporation of China Limited,上海证券交易所,Shanghai  Exchange,0.206
20220429,000300,沪深300,CSI 300,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.286
20220429,000300,沪深300,CSI 300,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,上海证券交易所,Shanghai  Exchange,0.729
20220429,000300,沪深300,CSI 300,600000,浦发银行,Shanghai Pudong Development Bank Co Ltd,上海证券交易所,Shanghai  Exchange,0.521
20220429,000300,沪深300,CSI 300,600426,华鲁恒升,Shandong Hualu-Hengsheng Chemical Co Ltd,上海证券交易所,Shanghai  Exchange,0.247
20220429,000300,沪深300,CSI 300,601899,紫金矿业,Zijin Mining Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.882
20220429,000300,沪深300,CSI 300,002493,荣盛石化,Rongsheng Petro Chemical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.23
20220429,000300,沪深300,CSI 300,002466,天齐锂业,"Tianqi Lithium Industries, Inc.",深圳证券交易所,Shenzhen  Exchange,0.437
20220429,000300,沪深300,CSI 300,601888,中国中免,China Tourism Group Duty Free Corporation Limited,上海证券交易所,Shanghai  Exchange,0.982
20220429,000300,沪深300,CSI 300,002410,广联达,Glodon Software Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.241
20220429,000300,沪深300,CSI 300,002157,正邦科技,Jiangxi Zhengbang Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.051
20220429,000300,沪深300,CSI 300,601877,正泰电器,Zhejiang Chint Electrics Co Ltd,上海证券交易所,Shanghai  Exchange,0.194
20220429,000300,沪深300,CSI 300,300003,乐普医疗,Lepu Medical Technology (Beijing) Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.119
20220429,000300,沪深300,CSI 300,002230,科大讯飞,"Iflytek Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.376
20220429,000300,沪深300,CSI 300,601166,兴业银行,Industrial Bank,上海证券交易所,Shanghai  Exchange,1.645
20220429,000300,沪深300,CSI 300,601601,中国太保,China Pacific Insurance (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.393
20220429,000300,沪深300,CSI 300,600999,招商证券,China Merchants Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.262
20220429,000300,沪深300,CSI 300,002414,高德红外,Wuhan Guide Infrared Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.08
20220429,000300,沪深300,CSI 300,002179,中航光电,"AVIC Jonhon Optronic Technology Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.23
20220429,000300,沪深300,CSI 300,601788,光大证券,Everbright Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.123
20220429,000300,沪深300,CSI 300,002142,宁波银行,Bank of Ningbo Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.795
20220429,000300,沪深300,CSI 300,601009,南京银行,Bank of Nanjing Co Ltd,上海证券交易所,Shanghai  Exchange,0.321
20220429,000300,沪深300,CSI 300,002044,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.076
20220429,000300,沪深300,CSI 300,600606,绿地控股,Greenland Holdings Corporation Limited,上海证券交易所,Shanghai  Exchange,0.101
20220429,000300,沪深300,CSI 300,600660,福耀玻璃,"Fuyao Glass Industry Group Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.275
20220429,000300,沪深300,CSI 300,600741,华域汽车,HUAYU Automotive Systems Company Limited,上海证券交易所,Shanghai  Exchange,0.171
20220429,000300,沪深300,CSI 300,600845,宝信软件,Shanghai Baosight Software Co Ltd,上海证券交易所,Shanghai  Exchange,0.089
20220429,000300,沪深300,CSI 300,600872,中炬高新,"Jonjee Hi-Tech Industrial and Commercial Holding Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.077
20220429,000300,沪深300,CSI 300,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.159
20220429,000300,沪深300,CSI 300,002352,顺丰控股,"S.F. Holding Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.556
20220429,000300,沪深300,CSI 300,002252,上海莱士,Shanghai RAAS Blood Products Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.121
20220429,000300,沪深300,CSI 300,601989,中国重工,China Shipbuilding Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.225
20220429,000300,沪深300,CSI 300,300033,同花顺,"Hithink Royalflush Information Network Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.098
20220429,000300,沪深300,CSI 300,601857,中国石油,PetroChina Co Ltd,上海证券交易所,Shanghai  Exchange,0.289
20220429,000300,沪深300,CSI 300,601186,中国铁建,China Railway Construction Co Ltd,上海证券交易所,Shanghai  Exchange,0.214
20220429,000300,沪深300,CSI 300,601939,建设银行,China Construction Bank,上海证券交易所,Shanghai  Exchange,0.225
20220429,000300,沪深300,CSI 300,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,上海证券交易所,Shanghai  Exchange,2.667
20220429,000300,沪深300,CSI 300,002129,中环股份,"Tianjin Zhonghuan Semiconductor Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.488
20220429,000300,沪深300,CSI 300,601006,大秦铁路,Daqin Railway Co Ltd,上海证券交易所,Shanghai  Exchange,0.219
20220429,000300,沪深300,CSI 300,002415,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.096
20220429,000300,沪深300,CSI 300,601377,兴业证券,Industrial Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.193
20220429,000300,沪深300,CSI 300,000800,一汽解放,"FAW Jiefang Group Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.042
20220429,000300,沪深300,CSI 300,002371,北方华创,"NAURA Technology Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.347
20220429,000300,沪深300,CSI 300,002241,歌尔股份,GoerTek Inc,深圳证券交易所,Shenzhen  Exchange,0.463
20220429,000300,沪深300,CSI 300,002311,海大集团,Guangdong Haid Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.283
20220429,000300,沪深300,CSI 300,601328,交通银行,Bank of Communications Co LTD,上海证券交易所,Shanghai  Exchange,0.771
20220429,000300,沪深300,CSI 300,601169,北京银行,Bank of Beijing Co Ltd,上海证券交易所,Shanghai  Exchange,0.374
20220429,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.285
20220429,000300,沪深300,CSI 300,600143,金发科技,Kingfa Sci&Tech Co Ltd,上海证券交易所,Shanghai  Exchange,0.082
20220429,000300,沪深300,CSI 300,000938,紫光股份,"Unisplendour Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.134
